id,target
0,5
1,1
2,6
3,3
4,2
5,2
6,7
7,8
8,8
9,3
10,7
11,4
12,4
13,4
14,4
15,5
16,3
17,1
18,5
19,5
20,2
21,7
22,6
23,8
24,5
25,4
26,7
27,2
28,3
29,1
30,4
31,8
32,2
33,7
34,4
35,2
36,8
37,6
38,1
39,1
40,1
41,8
42,3
43,4
44,3
45,2
46,6
47,6
48,8
49,7
50,7
51,3
52,1
53,1
54,3
55,5
56,4
57,2
58,6
59,7
60,4
61,7
62,1
63,4
64,4
65,6
66,7
67,6
68,8
69,7
70,4
71,7
72,2
73,5
74,2
75,2
76,1
77,5
78,6
79,7
80,3
81,5
82,2
83,1
84,5
85,7
86,5
87,8
88,8
89,1
90,8
91,2
92,2
93,1
94,8
95,4
96,1
97,5
98,5
99,6
100,1
101,8
102,2
103,5
104,2
105,6
106,1
107,7
108,2
109,4
110,8
111,7
112,8
113,8
114,4
115,1
116,3
117,4
118,8
119,8
120,8
121,1
122,8
123,4
124,8
125,2
126,4
127,1
128,2
129,1
130,1
131,8
132,2
133,7
134,2
135,3
136,3
137,8
138,6
139,4
140,5
141,3
142,7
143,3
144,4
145,8
146,2
147,5
148,8
149,4
150,5
151,7
152,6
153,1
154,6
155,1
156,8
157,8
158,5
159,8
160,2
161,6
162,4
163,1
164,4
165,8
166,5
167,5
168,3
169,4
170,5
171,2
172,1
173,4
174,8
175,6
176,5
177,1
178,3
179,4
180,6
181,6
182,8
183,2
184,7
185,8
186,7
187,5
188,3
189,8
190,3
191,6
192,7
193,5
194,1
195,8
196,5
197,3
198,8
199,8
200,6
201,4
202,6
203,7
204,8
205,8
206,6
207,5
208,3
209,2
210,2
211,1
212,2
213,8
214,4
215,6
216,7
217,3
218,4
219,4
220,7
221,6
222,5
223,6
224,6
225,3
226,7
227,5
228,4
229,5
230,3
231,6
232,2
233,8
234,5
235,8
236,8
237,5
238,7
239,8
240,6
241,7
242,7
243,2
244,1
245,8
246,6
247,5
248,8
249,2
250,7
251,6
252,8
253,3
254,2
255,7
256,2
257,8
258,8
259,1
260,8
261,6
262,8
263,1
264,8
265,2
266,8
267,4
268,5
269,8
270,5
271,1
272,8
273,2
274,4
275,1
276,6
277,1
278,3
279,7
280,8
281,7
282,1
283,5
284,8
285,6
286,8
287,7
288,4
289,8
290,1
291,8
292,1
293,3
294,2
295,2
296,3
297,3
298,8
299,1
300,1
301,7
302,8
303,5
304,5
305,2
306,7
307,7
308,3
309,2
310,1
311,8
312,4
313,3
314,3
315,2
316,2
317,4
318,3
319,2
320,1
321,2
322,5
323,7
324,2
325,5
326,6
327,4
328,1
329,4
330,7
331,4
332,4
333,8
334,6
335,8
336,1
337,2
338,6
339,7
340,8
341,4
342,4
343,3
344,4
345,7
346,5
347,6
348,4
349,1
350,1
351,6
352,4
353,5
354,5
355,7
356,8
357,8
358,4
359,7
360,4
361,6
362,4
363,1
364,7
365,3
366,3
367,5
368,2
369,6
370,6
371,1
372,6
373,2
374,4
375,1
376,5
377,1
378,8
379,2
380,7
381,2
382,5
383,7
384,7
385,2
386,8
387,2
388,5
389,1
390,3
391,4
392,1
393,2
394,7
395,8
396,4
397,2
398,3
399,3
400,4
401,5
402,8
403,2
404,5
405,1
406,6
407,5
408,2
409,2
410,8
411,1
412,2
413,2
414,1
415,3
416,1
417,5
418,2
419,3
420,5
421,1
422,8
423,3
424,2
425,1
426,5
427,8
428,8
429,8
430,5
431,4
432,6
433,1
434,5
435,3
436,1
437,6
438,1
439,3
440,1
441,3
442,2
443,7
444,7
445,2
446,7
447,8
448,4
449,4
450,4
451,6
452,1
453,7
454,1
455,4
456,2
457,2
458,4
459,8
460,5
461,6
462,6
463,7
464,1
465,2
466,2
467,1
468,8
469,2
470,2
471,2
472,7
473,6
474,7
475,3
476,7
477,1
478,4
479,8
480,2
481,7
482,7
483,4
484,8
485,8
486,8
487,3
488,5
489,7
490,2
491,7
492,3
493,8
494,5
495,8
496,8
497,5
498,2
499,4
500,3
501,2
502,5
503,2
504,6
505,3
506,5
507,2
508,3
509,1
510,6
511,4
512,8
513,6
514,6
515,6
516,1
517,1
518,3
519,3
520,4
521,1
522,1
523,7
524,6
525,3
526,5
527,6
528,7
529,7
530,8
531,3
532,2
533,6
534,4
535,7
536,4
537,3
538,4
539,4
540,8
541,8
542,5
543,8
544,7
545,8
546,3
547,1
548,7
549,7
550,5
551,8
552,2
553,7
554,1
555,8
556,8
557,6
558,2
559,4
560,4
561,5
562,3
563,4
564,8
565,7
566,1
567,5
568,7
569,7
570,4
571,1
572,6
573,2
574,1
575,4
576,6
577,5
578,8
579,1
580,2
581,8
582,8
583,4
584,8
585,8
586,2
587,6
588,8
589,4
590,3
591,1
592,7
593,7
594,5
595,3
596,4
597,4
598,1
599,8
600,8
601,7
602,3
603,4
604,7
605,2
606,8
607,1
608,3
609,3
610,4
611,7
612,7
613,2
614,2
615,1
616,6
617,2
618,1
619,8
620,2
621,8
622,5
623,5
624,2
625,1
626,5
627,6
628,2
629,2
630,5
631,5
632,6
633,3
634,1
635,6
636,7
637,5
638,3
639,7
640,7
641,8
642,4
643,6
644,8
645,7
646,4
647,8
648,4
649,3
650,5
651,8
652,7
653,8
654,6
655,6
656,6
657,8
658,3
659,5
660,5
661,3
662,3
663,3
664,3
665,3
666,6
667,4
668,8
669,6
670,3
671,7
672,1
673,6
674,7
675,1
676,4
677,6
678,5
679,2
680,1
681,8
682,2
683,2
684,6
685,4
686,3
687,5
688,5
689,1
690,1
691,6
692,7
693,3
694,5
695,8
696,4
697,6
698,7
699,1
700,1
701,5
702,5
703,8
704,7
705,1
706,1
707,4
708,3
709,3
710,3
711,2
712,4
713,8
714,2
715,2
716,6
717,7
718,7
719,5
720,7
721,3
722,6
723,5
724,3
725,2
726,3
727,6
728,5
729,6
730,5
731,8
732,8
733,1
734,2
735,7
736,1
737,5
738,1
739,6
740,6
741,1
742,2
743,6
744,1
745,7
746,6
747,8
748,6
749,2
750,1
751,2
752,8
753,1
754,8
755,2
756,6
757,5
758,5
759,7
760,7
761,1
762,6
763,4
764,8
765,8
766,8
767,5
768,2
769,3
770,4
771,2
772,5
773,7
774,4
775,2
776,8
777,7
778,3
779,6
780,6
781,7
782,5
783,7
784,2
785,4
786,1
787,2
788,3
789,1
790,7
791,3
792,7
793,6
794,6
795,8
796,2
797,6
798,6
799,1
800,7
801,8
802,7
803,7
804,2
805,6
806,1
807,8
808,1
809,1
810,4
811,1
812,3
813,1
814,2
815,7
816,3
817,6
818,5
819,5
820,1
821,3
822,3
823,7
824,8
825,6
826,6
827,7
828,6
829,5
830,7
831,4
832,3
833,1
834,3
835,7
836,7
837,3
838,1
839,7
840,4
841,5
842,1
843,7
844,1
845,4
846,2
847,3
848,2
849,5
850,6
851,1
852,4
853,4
854,2
855,1
856,6
857,1
858,7
859,1
860,6
861,8
862,3
863,4
864,1
865,1
866,2
867,4
868,8
869,2
870,4
871,3
872,6
873,6
874,4
875,1
876,4
877,7
878,2
879,6
880,1
881,2
882,2
883,5
884,6
885,2
886,8
887,1
888,6
889,5
890,7
891,8
892,7
893,6
894,8
895,6
896,2
897,2
898,8
899,4
900,1
901,5
902,4
903,8
904,5
905,6
906,7
907,3
908,7
909,5
910,5
911,1
912,1
913,8
914,4
915,5
916,5
917,7
918,4
919,2
920,4
921,1
922,5
923,2
924,1
925,1
926,3
927,1
928,1
929,3
930,7
931,4
932,7
933,3
934,6
935,8
936,6
937,7
938,7
939,5
940,4
941,1
942,8
943,7
944,1
945,5
946,4
947,1
948,4
949,4
950,4
951,4
952,6
953,8
954,5
